Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=15_size=480_step=180_rho=0.100000/', output='./nu_node=15_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=False)
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.8000099423344601
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8176266137040716
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8398374799357945
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8086340206185567
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7746276067527309
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7735633326705109
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8507130124777184
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.7551051051051051
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7919653524492233
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.793993993993994
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8673572003218021
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8251404494382022
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8599163679808841
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8490990990990992
train acc=0.9987531172069826, test acc=0.7562189054726368, train auc=0.9988452655889146, test auc=0.7560891089108911
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7941264459513363
train acc=1.0, test acc=0.835820895522388, train auc=1.0, test auc=0.8322879330943846
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8010396039603961
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.8536379857256144
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8122390137204216
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7752525252525253
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8458415841584158
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8009506833036246
train acc=1.0, test acc=0.835820895522388, train auc=1.0, test auc=0.8360215053763442
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8118881118881118
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.808392315470172
train acc=1.0, test acc=0.835820895522388, train auc=1.0, test auc=0.8334834834834834
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8021206690561529
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8210041592394534
train acc=0.9987531172069826, test acc=0.835820895522388, train auc=0.9988452655889146, test auc=0.8357425742574256
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7711881188118812
train acc=0.9987531172069826, test acc=0.8159203980099502, train auc=0.9988095238095238, test auc=0.8159407138535995
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7958910891089109
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.7666435506241331
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8577712609970675
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8084428715874621
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7807113136516742
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7706845238095237
train acc=0.9987531172069826, test acc=0.8109452736318408, train auc=0.9988344988344988, test auc=0.8101190476190475
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7781718281718282
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7871187800963081
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.7662376237623763
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.7580919080919081
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8007964059628344
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7921537547057659
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8166333666333666
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8080357142857143
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8391369047619048
train acc=0.9987531172069826, test acc=0.8258706467661692, train auc=0.9988151658767773, test auc=0.8229835473515249
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.8195224719101124
train acc=0.9987531172069826, test acc=0.8109452736318408, train auc=0.9988235294117648, test auc=0.8053450339050658
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8053450339050658
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7786944045911047
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8140019860973188
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8052584670231728
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7765720081135903
train acc=1.0, test acc=0.835820895522388, train auc=1.0, test auc=0.8360071301247772
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8276067527308838
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.755696453338617
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8162202380952381
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7859916367980884
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8110780897724943
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8282117367168913
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8256737731295254
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8155671761866452
train acc=0.9987531172069826, test acc=0.7910447761194029, train auc=0.9988290398126464, test auc=0.7862895207794791
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.790625
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.843328707375099
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8176266137040716
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.8213191750051052
train acc=0.9987531172069826, test acc=0.8159203980099502, train auc=0.9988038277511962, test auc=0.8153651115618662
train acc=0.9987531172069826, test acc=0.8208955223880597, train auc=0.9988317757009345, test auc=0.819811320754717
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8482905982905985
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7896613190730838
train acc=1.0, test acc=0.7313432835820896, train auc=1.0, test auc=0.7324152962155737
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7781026962727995
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8100297914597816
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8453041410739053
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8300595238095237
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8180552793795983
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7678001595532509
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.7976406533575318
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7904293739967897
train acc=0.9987531172069826, test acc=0.8407960199004975, train auc=0.9988290398126464, test auc=0.8407735136209983
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.7998805256869774
train acc=0.9987531172069826, test acc=0.746268656716418, train auc=0.9988399071925754, test auc=0.7442540122845254
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.8516089362574297
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.769131641554322
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.7976308485329103
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8120879120879122
train acc=0.9987531172069826, test acc=0.8059701492537313, train auc=0.9988344988344988, test auc=0.8075892857142858
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.7953230953330673
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.80696453338617
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7867559523809525
train acc=0.9987531172069826, test acc=0.7860696517412935, train auc=0.9988179669030732, test auc=0.7873873873873873
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8176639587873985
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.797275800357924
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.799702380952381
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7950267485635031
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8047666335650449
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8268087722894035
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7827172827172827
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8209036742800397
train acc=0.9987531172069826, test acc=0.746268656716418, train auc=0.9988662131519274, test auc=0.7504480286738351
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7492069785884219
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7845955590800952
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.794615849969752
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.8257440476190475
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.7974164764473957
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8648059763436398
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7727678571428571
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8048319745476238
train acc=1.0, test acc=0.8159203980099502, train auc=1.0, test auc=0.8159900990099009
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.7681403647898494
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7744744744744745
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8206555033694098
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.805126404494382
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7821321321321323
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7894261637239165
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8007765830346476
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8005116372391652
train acc=1.0, test acc=0.835820895522388, train auc=1.0, test auc=0.8324324324324325
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7707207207207206
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7868389780154486
train acc=1.0, test acc=0.8208955223880597, train auc=1.0, test auc=0.8205953338696702
train_acc_list: min=0.9987531172069826, max=1.0, mean=0.9998586866167913, var=1.5623175367206257e-07
test_acc_list: min=0.7313432835820896, max=0.8706467661691543, mean=0.8066334991708126, var=0.0006959123674056471
train_auc_list: min=0.9988038277511962, max=1.0, mean=0.9998674350532675, var=1.3751032809071208e-07
test_auc_list: min=0.7324152962155737, max=0.8673572003218021, mean=0.8055930153690647, var=0.0006865513644746063
