Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=15_size=480_step=180_rho=0.100000/', output='./linear_node=15_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=True)
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7540763571286538
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7859900990099011
train acc=1.0, test acc=0.736318407960199, train auc=1.0, test auc=0.7365841584158417
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7940108892921959
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.760990099009901
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.7622845254606697
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8082844574780059
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8534378159757332
train acc=1.0, test acc=0.7412935323383084, train auc=1.0, test auc=0.7416286903110758
train acc=1.0, test acc=0.7313432835820896, train auc=1.0, test auc=0.7303571428571429
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.765922619047619
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.7571428571428572
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7479434189406099
train acc=1.0, test acc=0.736318407960199, train auc=1.0, test auc=0.7365346534653465
train acc=1.0, test acc=0.7412935323383084, train auc=1.0, test auc=0.7361138861138862
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8086073105983256
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7717455914404597
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7893606393606394
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.7638392857142857
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.784077380952381
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7712680577849118
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.7960473515248796
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7718887116074991
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.7557339449541284
train acc=1.0, test acc=0.736318407960199, train auc=1.0, test auc=0.7356015576962494
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8020357497517377
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.7559417706476531
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7851926977687627
train acc=1.0, test acc=0.8009950248756219, train auc=1.0, test auc=0.8009506833036246
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7934955312810329
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7513374281751535
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7745535714285714
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7921146953405017
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7786944045911047
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.783554718477399
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7738837489943684
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7783085277554304
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7709783257108769
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7715773809523808
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.828905630452022
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8297914597815292
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.7615376761282417
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7483265720081137
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.76519364448858
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.7605311355311356
train acc=1.0, test acc=0.7412935323383084, train auc=1.0, test auc=0.7400475341651812
train acc=1.0, test acc=0.6915422885572139, train auc=1.0, test auc=0.6920943134535368
train acc=1.0, test acc=0.7213930348258707, train auc=1.0, test auc=0.7224425059476606
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.7717477656405164
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8057261739647316
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7924107142857142
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7767945913700537
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7703430394894296
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7800967937084089
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7691111556982343
train acc=1.0, test acc=0.835820895522388, train auc=1.0, test auc=0.8361006164247365
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7744922341696535
train acc=1.0, test acc=0.7114427860696517, train auc=1.0, test auc=0.7100257578759658
train acc=1.0, test acc=0.835820895522388, train auc=1.0, test auc=0.8329063332650132
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.7547085646312451
train acc=1.0, test acc=0.7661691542288557, train auc=1.0, test auc=0.7629361617763679
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.782917082917083
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.7616071428571429
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8061926605504587
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8118189023182089
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7498511904761904
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7762762762762762
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7921537547057659
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7826108570292304
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7831845238095239
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7705072320190212
train acc=1.0, test acc=0.7313432835820896, train auc=1.0, test auc=0.7332671300893744
train acc=1.0, test acc=0.7910447761194029, train auc=1.0, test auc=0.7856118056978889
train acc=1.0, test acc=0.7562189054726368, train auc=1.0, test auc=0.7497502497502497
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7699106256206555
train acc=1.0, test acc=0.6865671641791045, train auc=1.0, test auc=0.691905615292712
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.769131641554322
train acc=1.0, test acc=0.7412935323383084, train auc=1.0, test auc=0.7399385408406026
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7743496672716274
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8114583333333333
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7683648059763437
train acc=1.0, test acc=0.8109452736318408, train auc=1.0, test auc=0.8085702427889604
train acc=1.0, test acc=0.7611940298507462, train auc=1.0, test auc=0.7602678571428572
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8054782262875323
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7811881188118812
train acc=1.0, test acc=0.7164179104477612, train auc=1.0, test auc=0.7169409199048374
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7432432432432432
train acc=1.0, test acc=0.7761194029850746, train auc=1.0, test auc=0.7807331018991219
train acc=1.0, test acc=0.7412935323383084, train auc=1.0, test auc=0.7436296147672553
train acc=1.0, test acc=0.736318407960199, train auc=1.0, test auc=0.7370870870870871
train acc=1.0, test acc=0.7810945273631841, train auc=1.0, test auc=0.7770365168539326
train acc=1.0, test acc=0.7711442786069652, train auc=1.0, test auc=0.7676224611708483
train acc=1.0, test acc=0.7960199004975125, train auc=1.0, test auc=0.7904293739967897
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7821321321321323
train acc=1.0, test acc=0.7512437810945274, train auc=1.0, test auc=0.7506006006006006
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7865418894830659
train acc=1.0, test acc=0.8059701492537313, train auc=1.0, test auc=0.8073209975864845
train_acc_list: min=1.0, max=1.0, mean=1.0, var=0.0
test_acc_list: min=0.6865671641791045, max=0.8507462686567164, mean=0.7746268656716419, var=0.000737853023440014
train_auc_list: min=1.0, max=1.0, mean=1.0, var=0.0
test_auc_list: min=0.691905615292712, max=0.8534378159757332, mean=0.7732760715052436, var=0.0007378576357359252
